x, y, cal_s11, acc_s11, s11_error,, cal_s22, acc_s22, s22_error, cal_s12, acc_s12, s12_error,,0,3761
1.845587,1.046267,-9.503916,-8.98834,-5.736059,5.736059,1.503526,1.270441,18.346742,2.133214,2.258761,-5.558214,,,
1.854344,1.155869,-9.503916,-9.495884,-0.084583,0.084583,1.503526,1.340475,12.163673,2.133214,2.076026,2.754683,,,
1.347354,1.951389,-11.969072,-11.921712,-0.397258,0.397258,0.660719,0.661449,-0.11034,-0.010376,-0.032663,68.234458,,,
1.434779,2.04515,-11.969072,-11.753149,-1.837149,1.837149,0.660719,0.662578,-0.280513,-0.010376,-0.02571,59.643579,,,
1.34129,2.075025,-11.969072,-11.82784,-1.194064,1.194064,0.660719,0.482643,36.896112,-0.010376,-0.178388,94.183721,,,
1.981798,0.68356,-6.879001,-6.953117,1.06594,1.06594,0.703175,0.536276,31.12183,2.041627,2.15643,-5.323736,,,
1.87965,0.650308,-6.879001,-6.64826,-3.470695,3.470695,0.703175,0.622984,12.872032,2.041627,2.305992,-11.46426,,,
1.947616,0.593627,-6.879001,-6.415303,-7.227986,7.227986,0.703175,0.41951,67.618207,2.041627,2.098052,-2.689378,,,
1.143097,2.140939,-12.084583,-11.898831,-1.561099,1.561099,0.250374,0.009855,2440.676262,-0.30469,-0.464575,34.415199,,,
1.185264,2.054697,-12.084583,-11.984716,-0.833289,0.833289,0.250374,0.20517,22.032669,-0.30469,-0.360551,15.492992,,,
1.250536,2.114844,-12.084583,-11.864212,-1.857442,1.857442,0.250374,0.267686,-6.467186,-0.30469,-0.325521,6.39905,,,
3.408289,1.260671,-9.195422,-9.034777,-1.778081,1.778081,0.263201,0.184737,42.473831,0.949994,0.909707,4.428525,,,
3.407299,1.150227,-9.195422,-8.896098,-3.364667,3.364667,0.263201,0.126156,108.631928,0.949994,0.893375,6.337618,,,
3.544999,1.191896,-9.195422,-8.973109,-2.477546,2.477546,0.263201,0.112509,133.938292,0.949994,0.830499,14.388254,,,
1.056067,2.202699,-12.134258,-11.84479,-2.44384,2.44384,-0.1772,-0.254013,30.239955,-0.6907,-0.571726,-20.80975,,,
1.039212,2.276871,-12.134258,-11.740656,-3.35247,3.35247,-0.1772,-0.351233,49.549181,-0.6907,-0.598907,-15.326881,,,
0.96144,2.201468,-12.134258,-11.864268,-2.275656,2.275656,-0.1772,-0.491171,63.922979,-0.6907,-0.643148,-7.393736,,,
4.155745,1.679455,-9.609331,-9.447112,-1.717124,1.717124,0.209131,0.16308,28.23873,0.668341,0.633215,5.547168,,,
